Frec,Volt
1000,0.110911070808187
1023.53102189903,0.000944681848939007
1047.61575278966,-0.0638658038502741
1072.26722201032,-0.13904718061384
1097.49876549306,-0.229398506688562
1123.32403297803,-0.282167454395636
1149.75699539774,-0.423130638739334
1176.811952435,-0.480098704991279
1204.50354025878,-0.628349025691103
1232.84673944207,-0.752608844126216
1261.85688306602,-0.795125599471504
1291.54966501488,-0.945875715799601
1321.94114846603,-1.03720179441312
1353.04777457981,-1.1964644135657
1384.88637139387,-1.3248245733445
1417.4741629268,-1.43335239655627
1450.82877849594,-1.54630582828161
1484.96826225446,-1.68582509344048
1519.91108295293,-1.89476768852502
1555.67614393047,-2.04767277395127
1592.28279334109,-2.18172370981329
1629.75083462064,-2.3593668393126
1668.10053720006,-2.55411542297137
1707.35264747069,-2.74101594490815
1747.52840000768,-2.8841141902689
1788.64952905743,-3.0973811674589
1830.73828029537,-3.36141601575257
1873.81742286038,-3.50492294336259
1917.91026167248,-3.77425158988913
1963.04065004027,-4.02463623565481
2009.23300256504,-4.2505789565333
2056.51230834865,-4.48764328240915
2104.90414451202,-4.73601404551266
2154.43469003188,-5.0903764437599
2205.13073990304,-5.36288318698778
2257.01971963391,-5.6586785487768
2310.12970008315,-5.96161197546893
2364.4894126454,-6.29364416728593
2420.12826479438,-6.56843759248339
2477.0763559917,-6.94819808676771
2535.36449397011,-7.34794692252611
2595.02421139973,-7.78527884336589
2656.08778294668,-8.09369228688751
2718.58824273293,-8.61938495722167
2782.55940220712,-9.00020037866929
2848.03586843579,-9.50866043799459
2915.05306282517,-9.99172535169757
2983.64724028333,-10.5012270617361
3053.85550883341,-10.9852714505846
3125.71584968823,-11.7291159546989
3199.26713779737,-12.4373830538169
3274.54916287772,-13.0516149922586
3351.60265093883,-13.6969327010834
3430.46928631491,-14.1838647581649
3511.19173421512,-15.2180964223685
3593.81366380461,-15.8967614395536
3678.37977182862,-17.1950652697763
3764.93580679245,-18.0239698648125
3853.52859371051,-18.9874105836971
3944.20605943764,-20.7613884682797
4037.01725859654,-20.6876888606634
4132.01240011532,-23.0209035943956
4229.24287438948,-22.1822773626166
4328.76128108304,-24.8938537777444
4430.62145758386,-24.5535886968663
4534.87850812856,-24.737071853322
4641.58883361276,-25.712804782992
4750.81016210278,-24.3869424247835
4862.60158006533,-27.365921229791
4977.02356433209,-23.6605703282605
5094.13801481636,-26.7644139329759
5214.00828799966,-26.5517939850231
5336.69923120628,-25.2244127880443
5462.27721768432,-25.3044709161674
5590.8101825122,-22.5726573784705
5722.36765935019,-27.5027305149102
5857.02081805664,-27.7209838602274
5994.84250318938,-27.7712354476987
6135.90727341314,-27.2517059866496
6280.29144183422,-22.1088470763872
6428.07311728429,-23.7519369208549
6579.33224657564,-23.2590035707702
6734.15065775079,-20.6171690972805
6892.61210434966,-15.6043240151857
7054.8023107186,-19.5554821371674
7220.80901838542,-18.9354231825051
7390.72203352574,-18.0776831290465
7564.63327554625,-17.1481552734381
7742.63682681123,-16.6513730439474
7924.82898353913,-15.874986685951
8111.30830789682,-15.0288123961419
8302.1756813197,-14.7849754499051
8497.53435908639,-14.3466373392063
8697.49002617778,-13.9317860855969
8902.15085445033,-13.701012556759
9111.62756115484,-13.58342746941
9326.03346883214,-13.4146306322399
9545.48456661828,-13.3476141552565
9770.09957299219,-13.5180968779044
9999.99999999993,-13.6646304549271
